origine_dati,icona,link_icona,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,colori,colori_icona,morte,vittime,percentuale,descrizione,NAME
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Marietta",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Levi, Marietta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Ottolenghi, Dorina",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Ottolenghi, Dorina"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Vigevani, Eda Anna Tesaura",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Vigevani, Eda Anna Tesaura"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Wessler, Elvira",1944-01-17,17 gennaio 1944,Acqui Terme,44.67552,8.46934,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Wessler, Elvira"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Ravenna, Guido Anselmo",1944-08-01,1 agosto 1944,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nazisti,red,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Ravenna, Guido Anselmo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Heller, Samuele",1943-12-30,30 dicembre 1943,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Auschwitz,"Heller, Samuele"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Supino, Teresa",1943-12-30,30 dicembre 1943,Adria,45.05445,12.05599,Rovigo,Veneto,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Auschwitz,"Supino, Teresa"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Loeb, Gertrude",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Loeb, Gertrude"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Loeb, Hilde",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Loeb, Hilde"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Loeb, Moritz",1943-11-30,30 novembre 1943,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Loeb, Moritz"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Munk, Hans",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Munk, Hans"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Molho, Olga",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,nazisti,red,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Molho, Olga"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Saltiel, Moise",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,nazisti,red,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Saltiel, Moise"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Schwarz, Liselotte",1944-01-24,24 gennaio 1944,Agliana,43.90246,11.00531,Pistoia,Toscana,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Auschwitz,"Schwarz, Liselotte"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bachi, Pia",1943-12-07,7 dicembre 1943,Alassio,44.00393,8.16713,Savona,Liguria,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Bachi, Pia"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Elena",1944-04-15,15 aprile 1944,Alassio,44.00393,8.16713,Savona,Liguria,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Levi, Elena"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Colonna, Palmira",1944-04-16,16 aprile 1944,Alassio,44.00393,8.16713,Savona,Liguria,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Colonna, Palmira"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Wollisch, Roberto",1944-04-15,15 aprile 1944,Alassio,44.00393,8.16713,Savona,Liguria,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Buchenwald,"Wollisch, Roberto"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Fubini, Rosetta",1944-04-17,17 aprile 1944,Alassio,44.00393,8.16713,Savona,Liguria,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Auschwitz,"Fubini, Rosetta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Sacerdote, Teodoro",1944-04-17,17 aprile 1944,Alassio,44.00393,8.16713,Savona,Liguria,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,nn,"Sacerdote, Teodoro"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Hirschl, Vera",1943-12-17,17 dicembre 1943,Alba,44.6999,8.0347,Cuneo,Piemonte,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Hirschl, Vera"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Weisser, Paolo",1944-10-10,10 ottobre 1944,Alba,44.6999,8.0347,Cuneo,Piemonte,Italia,nn,white,black,rastrellamento,1,6.8399452804E-005,Flossenburg,"Weisser, Paolo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Geltner, Minka Sara",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Geltner, Minka Sara"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Geltner, Renee",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Geltner, Renee"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Geltner, Salomone",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Geltner, Salomone"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Lublinski, Lipa",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Lublinski, Lipa"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Rubinfeld, Chaim",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Rubinfeld, Chaim"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Rubinfeld, Edward",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Rubinfeld, Edward"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Rubinfeld, Enrica",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Rubinfeld, Enrica"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Slukin, Anna",1943-12-10,10 dicembre 1943,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Slukin, Anna"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Heier, Fanny",1944-01-30,30 gennaio 1944,Albettone,45.35811,11.5843,Vicenza,Veneto,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Heier, Fanny"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Foa, Giacomo",1944-02-13,13 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Foa, Giacomo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Foa, Sansone",1944-02-13,13 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Foa, Sansone"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Foa, Sergio",1944-02-13,13 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Foa, Sergio"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Carmi, Colomba Ermellina",1944-02-16,16 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Carmi, Colomba Ermellina"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Carmi, Ermene Ester",1944-02-16,16 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Carmi, Ermene Ester"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"De Benedetti, Ida",1944-02-16,16 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"De Benedetti, Ida"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Segré, Italia",1944-02-16,16 febbraio 1944,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Segré, Italia"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Procaccia, Ernesto",1943-01-01,1 gennaio 1943,Alessandria,44.90924,8.61007,Alessandria,Piemonte,Italia,nn,white,black,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Procaccia, Ernesto"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Laura",1943-12-01,1 dicembre 1943,Ambivere,45.71958,9.55015,Bergamo,Lombardia,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Levi, Laura"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Lia Marta",1943-12-01,1 dicembre 1943,Ambivere,45.71958,9.55015,Bergamo,Lombardia,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Levi, Lia Marta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Nora",1943-12-01,1 dicembre 1943,Ambivere,45.71958,9.55015,Bergamo,Lombardia,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Levi, Nora"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"nazisti, Ada",1943-12-01,1 dicembre 1943,Ambivere,45.71958,9.55015,Trieste,Friuli-Venezia Giulia,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"nazisti, Ada"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"nazisti, Emma Bianca",1943-12-01,1 dicembre 1943,Ambivere,45.71958,9.55015,Venezia,Veneto,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"nazisti, Emma Bianca"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Clara",1943-12-01,1 dicembre 1943,Ambivere,45.43326,12.33597,Bergamo,Lombardia,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Levi, Clara"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Levi, Elda",1943-12-01,1 dicembre 1943,Ambivere,45.64953,13.77678,Bergamo,Lombardia,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Levi, Elda"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Schnapp Littman, Eisig",1943-11-30,30 novembre 1943,Antisciana,44.11972,10.38704,Lucca,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Schnapp Littman, Eisig"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Schnapp, Gerda",1943-11-30,30 novembre 1943,Antisciana,44.11972,10.38704,Lucca,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Schnapp, Gerda"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Elfer, Eugenio",1944-01-01,1 gennaio 1944,Anzio,41.45263,12.62157,Roma,Lazio,Italia,nazisti,red,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,nn,"Elfer, Eugenio"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Spitz, Alberto Riccardo",1943-12-12,12 dicembre 1943,Appiano Gentile,45.73499,8.98103,Como,Lombardia,Italia,nn,white,black,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Spitz, Alberto Riccardo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bertiner, Berta",1943-11-30,30 novembre 1943,Appignano,43.36276,13.34768,Macerata,Marche,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Bertiner, Berta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Carcassoni, Eugenia",1944-02-19,19 febbraio 1944,Appignano,43.36276,13.34768,Macerata,Marche,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Carcassoni, Eugenia"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Loewenthal, Guido",1944-02-19,19 febbraio 1944,Appignano,43.36276,13.34768,Macerata,Marche,Italia,nn,white,black,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Loewenthal, Guido"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Melli, Vittoria",1944-03-14,14 marzo 1944,Aquileia,45.7683,13.36779,Udine,Friuli-Venezia Giulia,Italia,nn,white,black,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Melli, Vittoria"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Berger, Adolf",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Berger, Adolf"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Bermann, Friedrich",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Bermann, Friedrich"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Brosan, Berta",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Brosan, Berta"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Gorniki, Mosè",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Gorniki, Mosè"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Landmann, Mendel",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Landmann, Mendel"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Landmann, Rita",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Ravensbrueck,"Landmann, Rita"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Landmann, Simon",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Landmann, Simon"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Lauterstein, Hanna",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Lauterstein, Hanna"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Mosbach, Egon Sigmund",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Mosbach, Egon Sigmund"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Popper, Gertrude",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Popper, Gertrude"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Salzer, Edmondo",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Salzer, Edmondo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Sattler, Caterina",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Bergen Belsen,"Sattler, Caterina"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Sobalska, Rachele",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Sobalska, Rachele"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Steiner, Ernst",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Steiner, Ernst"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Stern, Josephine",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Stern, Josephine"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Triebfeder, Nathan",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Triebfeder, Nathan"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Turteltaub, Edmondo",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Turteltaub, Edmondo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Turteltaub, Hans",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Turteltaub, Hans"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Turteltaub, Walter",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Turteltaub, Walter"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Wodak, Mary Sara",1943-12-12,12 dicembre 1943,Arcidosso,42.87162,11.53599,Grosseto,Toscana,Italia,fascisti,gray,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Wodak, Mary Sara"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Foà, Giacomo",1944-01-28,28 gennaio 1944,Arcisate,45.85578,8.86823,Varese,Lombardia,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Foà, Giacomo"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Treves, Adelaide",1944-01-28,28 gennaio 1944,Arcisate,45.85578,8.86823,Varese,Lombardia,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"Treves, Adelaide"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"nazisti, Gino",1944-05-02,2 maggio 1944,Arco,45.43326,12.33597,Trento,Trentino-Alto Adige,Italia,fascisti,gray,aliceblue,rastrellamento,1,6.8399452804E-005,Auschwitz,"nazisti, Gino"
cdec,user,https://img.icons8.com/ios-glyphs/30/000000/name.png,vittima della Shoah,"Zelikowski, Leo",1943-12-21,21 dicembre 1943,Arco,45.91772,10.88672,Trento,Trentino-Alto Adige,Italia,nazisti,red,aliceblue,Morto/a in campo di sterminio,1,6.8399452804E-005,Auschwitz,"Zelikowski, Leo"
