origine_dati,tipo,nome,data,data_intera,luogo,lat,lng,citta,regione,nazione,autori_evento,morte,vittime,descrizione
atlante_stragi,uccisione con armi da fuoco,"Aielli, 03.06.1944",1944-06-03,3 giugno 1944,Aielli,42.060658,13.590979,L'Aquila,Abruzzo,Italia,fascisti,rappresaglia,2,"La zona di ritrovamento del morto, presso Aielli, era di importanza cruciale per le truppe tedesche: lungo la statale 5 e la statale 83 del Parco Nazionale, infatti, erano collocati numerosi depositi di armi e viveri; ad Aielli era situato un deposito di cibo “Veilchen Neu” e nella vicina Massa D'Albe era installato il comando della X armata tedesca. L’occupazione aveva pesato sulle popolazioni e nella zona operavano numerose formazioni partigiane: la banda di Aielli (“GAP di Aielli”) di Carlo Piccone; la banda di Ovindoli capeggiata da Manfredo Santucci, distaccamento del gruppo “Patrioti Marsicani”; la banda del “Monte Velino”, costituita da due gruppi capitanati da Domenico Di Mattia e Fileno Blasetti; la banda “Giovenco”, guidata dal medico Giovanni De Gasperiis e la banda “Fontamara” di Pescina. Azioni armate contro il nemico, più o meno rilevanti, vengono compiute dai vari Gap e da altri gruppi di patrioti disseminati, come s’è detto, sul territorio e nei paesi marsicani, alcuni dei quali liberati prima dell’arrivo alleato, o comunque difesi dagli abituali saccheggi tedeschi. La morte di Milone Antonio è legata ad uno di questi episodi. Un nucleo di resistenti lanciò un assalto al comando fascista repubblicano, nell’edificio delle scuole elementari di Aielli dove nel gennaio 1944 si era stabilito un reparto del Battaglione Paracadutisti “San Marco” comandato dal Sottotenente Valfio Padovano. Nella notte del 1° giugno 1944 quattro partigiani (identificati in Ernani D’Alessandro, Quirico Cornelio e Antonio Milone, mentre per il quarto non furono accertate le generalità ma si seppe solo che si trattava di un maresciallo cecoslovacco Ignaz) vennero scoperti  e si dettero alla fuga, e nel conflitto a fuoco rimase ucciso l’uomo di origine ceca mentre Antonio Milone ferito a una gamba riuscì a dileguarsi. Nella mattinata del 2 giugno però fu scoperto durante un rastrellamento. Curato dal medico condotto Dottor Tattoni che ne consigliò un immediato ricovero all’ospedale di Celano, Milone non vi arrivò mai. Il suo corpo, infatti, fu rinvenuto il 3 giugno 1944 in località “tre ponti di Cerchio” in territorio del comune di Aielli (località “Morrone” proprio al confine tra Aielli e Cerchio); la morte fu causata da un colpo di arma da fuoco alla nuca (Alvaro Salvi)."
atlante_stragi,uccisione con armi da fuoco,Opi 31-5-1944,1944-05-31,31 maggio 1944,Opi,41.7802135,13.8296949,L'Aquila,Abruzzo,Italia,fascisti,legato al controllo del territorio,2,"Da testimoni coinvolti nell’episodio si apprende che il giorno 31 maggio 1944, Giovanni Cimini e tre suoi compagni, tutti di Opi, furono fermati nei pressi del fiume Sangro da un fascista repubblicano al servizio delle truppe tedesche mentre si recavano in montagna ad accudire gli animali che avevano sottratto alla razzia degli occupanti. Sotto minaccia armata, il fascista li condusse alla sede del comando posta nelle casette asismiche, costruite dopo il terremoto del ’15, dove furono loro richiesti i documenti. I compagni li mostrarono e uscirono mentre il Cimini ne era sfornito e fu trattenuto. Nell’attesa che il loro compagno uscisse, i tre testimoni udirono un litigio tra lo stesso Cimini ed un fascista perché si rifiutava di consegnare loro le scarpe che aveva ai piedi tanto che vennero in colluttazione; mentre il fascista incitava un collega a sparare contro il Cimini, questi tentava di svincolarsi e di fuggire. Quello gli sparò ferendolo al piede, ma la colluttazione non ebbe termine fino a quando un terzo fascista non sparò un colpo alla testa del Cimini facendolo stramazzare a terra. I suoi compagni si avvicinarono al cadavere ma i fascisti li costrinsero con le armi ad andare via. Il fatto avvenne alle ore 14."
atlante_stragi,fucilazione,"Rendinara, Morino 6-1-1944",1944-01-06,6 gennaio 1944,Rendinara,41.8337797,13.4629116,L'Aquila,Abruzzo,Italia,fascisti,punitivo,2,"La Valle Roveto, nella Marsica, è una zona dell'Abruzzo che si trovava molto vicina al fronte di Cassino. Dopo che si formò la linea Gustav divenne per i tedeschi la principale via di rifornimento. Alcuni paesini più impervi e difficilmente raggiungibili della zona, che erano inizialmente sfuggiti al controllo tedesco, come Meta (dove si trovavano i due fratelli partigiani Bruno e Mario Durante uccisi barbaramente dai tedeschi) rappresentarono un rifugio sicuro per i diversi prigionieri alleati che erano scappati dai campi di concentramento e divennero un luogo sicuro per organizzare l'attività partigiana. I partigiani della Valle Roveto avevano imparato a mettere e disinnescare mine, e progettavano in collaborazione con i POW delle truppe alleate di bloccare i tedeschi a sud di Capistrello o a Pescocanale durante la ritirata. Negli ultimi mesi di guerra, tuttavia, il controllo tedesco crebbe sempre di più, infatti il comando iniziò a cercare febbrilmente quei  soldati alleati che immaginavano si fossero rifugiati nella valle con la complicità della gente del luogo. I tedeschi, con la complicità dei fascisti, cercavano con insistenza gli informatori che con le radio ricetrasmittenti segnalavano alle truppe alleate i movimenti dei loro automezzi. Nel gennaio del 1944, alcuni militi del battaglione “M”, durante le loro ricerche di prigionieri di guerra, uccisero con due colpi di arma da fuoco il contadino Giuseppe Giorgi, in quanto accusato di collaborare con i partigiani."
atlante_stragi,fucilazione,"San Benedetto dei Marsi, 08.04.1944",1944-04-08,8 aprile 1944,San Benedetto dei Marsi,42.0082098,13.6275521,L'Aquila,Abruzzo,Italia,fascisti,rastrellamento,2,"A San Benedetto Dei Marsi, uccisione da parte di militi repubblichini,  l’8 aprile 1944 di Ettore Jacobucci perché accusato di connivenza coi gruppi partigiani della zona, come da relazione della Gnr."
atlante_stragi,fucilazione,"Stazione ferroviaria, Mongrando, 06.05.1944",1944-05-06,6 maggio 1944,Stazione ferroviaria,45.5154632,8.0057399,L'Aquila,Abruzzo,Italia,fascisti,rastrellamento,3,Il 6 maggio 1944 elementi della Gnr arrestano alla stazione ferroviaria di Mongrando e fucilano sul posto i due partigiani appartenenti alla banda comandata dal sottotenente Schiapparelli
atlante_stragi,fucilazione,Colle Stella Loreto Aprutino 11-06-1944,1944-06-11,11 giugno 1944,Colle Stella,42.4331851,13.986668,Pescara,Abruzzo,Italia,fascisti,punitivo,2,"Nella zona di Loreto Aprutino-Penne operava la formazione partigiana “Pescara Nord”, agli ordini di Ezio Di Clemente, che, con l’avvento della primavera 1944 e l’avvicinarsi del fronte, si unì all’altra formazione partigiana operante nelle zone limitrofe, la “Lombardi”, guidata dal maggiore degli alpini Giacomo Lombardi, intensificando la propria attività resistenziale, con sabotaggi ed azioni contro gli occupanti, spesso in stretta collaborazione con ufficiali inglesi. Parallelamente a tali attività, nelle ore precedenti la liberazione della zona si assistette ad un’intensificazione dell’azione repressiva antipartigiana da parte del Battaglione San Marco, che si rese protagonista prima delle fucilazioni dei fratelli Di Michele, presso il campo sportivo di Penne, evento quasi certamente legato all’attacco portato da un gruppo misto di partigiani ed inglesi alla Conceria Cutilli, dove era sistemato un deposito tedesco contenente viveri, vestiario ed armi; e successivamente della fucilazione dell’allievo ufficiale pilota Carlo Bonfiglio, renitente alla leva trovato in possesso dell’arma di ordinanza, catturato in seguito ad una delazione.Il funerale su celebrato il 13 giugno 1944, in una Loreto Aprutino ormai abbandonata dai tedeschi; la tumulazione avvenne il medesimo giorno nel cimitero di Loreto."
cdec,vittima della Shoah,"Labi, Giulia",1943-11-30,30 novembre 1943,Camugnano,44835,11.0289,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Labi, Isacco",1943-11-30,30 novembre 1943,Camugnano,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a per disagi e privazioni,1,Bergen Belsen
atlante_stragi,fucilazione,CARTECCHIO TERAMO 13.04.1944,1944-04-13,13 aprile 1944,Cartecchio,42.666899,13.7311166,Teramo,Abruzzo,Italia,fascisti,rastrellamento,4,"Il 09-04-1944 la 135? Legione della Guardia Nazionale Repubblicana, grazie ad una spiata di collaborazionisti, cattura a Villa Vallucci di Montorio al Vomano 5 giovani che stavano riposando, con l'accusa di aver attaccato e disarmato la stazione della Guardia Nazionale Repubblicana di Campotosto (AQ). L'11-04-1944 il Tribunale Militare Straordinario del 209° Comando Militare Regionale riconosce i cinque imputati colpevoli di aiuto al nemico (art.51 codice penale militare di guerra) e di insurrezione armata contro i poteri dello stato (art.284 codice penale), reati per i quali era prevista la pena di morte. A Castelli venne riconosciuto, inoltre, il reato di diserzione (art.146 codice penale militare di guerra), gli altri tre, invece, colpevoli di aver abbandonato il reparto dove prestavano servizio militare (art.2 decreto legislativo del Duce n.30 del 18 febbraio 1944), e De Cupis di non aver risposto alla chiamata alle armi della classe 1924. Eccetto che per Savini, ai tempi minorenne, tutti gli altri vennero condannati alla pena di morte mediante fucilazione alla schiena. La sentenza venne eseguita il 13 aprile 1944 alle 5 del mattino presso il cimitero di Cartecchio, solo Santarelli, l'unico che aveva fatto domanda di grazia, scampò all'esecuzione. Il De Cupis al momento della sentenza, urlando, chiese la fucilazione al petto e non alla schiena, dato che non erano dei traditori. La notte prima dell'esecuzione i tre accusati furono bastonati a sangue dalla milizia fascista. Temendo un'azione partigiana, il giorno della fucilazione l'intera città e il cimitero erano blindati. Le donne che quel giorno sbirciavano la scena dalle imposte, hanno raccontato che i tre condannati intonavano una straziante “Bandiera Rossa”. Dopo un abbraccio, i tre vennero legati alle sedie e fucilati. Solo uno dei condannati venne ucciso al primo colpo, gli altri due vennero feriti. L'ultimo grido del tenace De Cupis prima di morire fu: “Vigliacchi, ma imparate almeno a sparare!”."
cdec,vittima della Shoah,"Labi, Abramo",1943-12-08,8 dicembre 1943,Castelnovo ne' Monti,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Labi, Giuseppe",1943-12-08,8 dicembre 1943,Castelnovo ne' Monti,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Labi, Isacco",1943-12-08,8 dicembre 1943,Castelnovo ne' Monti,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, Messauda",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, Silvana Maria",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Nussbaum, Ernst",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Pincus, Eric",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Rector, Arturo",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Reginiano, Abramo",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Reginiano, Hlafo",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, Eugenio",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Giora",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, William Abramo",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Bersciadski, Semil",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Bublil, Zariffa",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Beniamino",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Giuseppe",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Nemni, Davide",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Hammus",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Hammus",1944-11-30,30 novembre 1944,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Hammus",1944-11-30,30 novembre 1944,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Huato",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Arbib, Vittorio",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Arnstein, Ernest",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in eccidio,1,Auschwitz
cdec,vittima della Shoah,"Aussenberg, Chaskel",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Baranes, Ida",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Bedussa, Regina",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in eccidio,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, Anna",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Benjamin, Daisy",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Abeasis, Clemente",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Abeasis, Ester",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Abeasis, Giorgio",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Abeasis, Rebecca",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Abeasis, Renato",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Isacco",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in stato di detenzione,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Jacob",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Jacob",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Jusef",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Jusef",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Mordechai",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Musci",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Selma",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Silvana",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Burbea, Sion",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Debasch, Ester",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Dihi, Diamantina",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Dihi, Simeone",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Eiseck, Hans",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Eisinger, Massimo",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Eskenazi, Giuseppe",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Fargion, Regina",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Fellah, Buba",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Gehan, Norina",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,rastrellamento,1,Bergen Belsen
cdec,vittima della Shoah,"Glueksmann, Ferdinand",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Goldmann, Albert",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Guetta, Vivienne",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Haar, Pavel",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Habib, Gemma",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Jacob Chino",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Mosè",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Nissim",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Rita",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Shalom",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Habib, Shalom Haim",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Haggiag, Giora",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
cdec,vittima della Shoah,"Hain, Ignaz",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Auschwitz
cdec,vittima della Shoah,"Halfon, Zula",1943-11-30,30 novembre 1943,Civitella del Tronto,42.77298,13.67626,Teramo,Abruzzo,Italia,fascisti,Morto/a in campo di sterminio,1,Bergen Belsen
